Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
Liberty Interactive Corp;2009;2008;Diversified Retail;27.98253935;38.33910035;35.28583264;7.936966059
Liberty Interactive Corp;2010;2009;Diversified Retail;30.14861738;37.76531231;32.86626978;18.49470628
Liberty Interactive Corp;2011;2010;Diversified Retail;19.70857932;11.58088235;32.59073673;13.77497633
Liberty Interactive Corp;2012;2011;Diversified Retail;19.56591181;5.634964266;28.05712781;25.21227406
Liberty Interactive Corp;2013;2012;Diversified Retail;29.74525296;41.29464286;37.69491952;7.617632659
Liberty Interactive Corp;2014;2013;Diversified Retail;31.31008287;42.89844143;38.66016612;9.836897728
Liberty Interactive Corp;2015;2014;Diversified Retail;32.44950576;43.7254902;34.01995305;18.05165822
Liberty Interactive Corp;2017;2016;Diversified Retail;36.28139553;45.330614;38.93800761;23.10161989
Liberty Media Corp;2017;2016;Media & Publishing;27.06145512;26.64233577;34.69209417;18.64710665
Liberty Tripadvisor Holdings Inc;2016;2015;Software & IT Services;19.25094175;30.08837338;18.6867685;7.826531109
Liberty Tripadvisor Holdings Inc;2017;2016;Software & IT Services;20.42852691;32.0303958;18.99837688;9.159896872
Life Storage Inc;2016;2015;Residential & Commercial REITs;26.22370957;28.81263617;24.52616936;25.31351851
LifePoint Health Inc;2010;2009;Healthcare Providers & Services;;;39.53051643;27.70915108
Lions Gate Entertainment Corp;2016;2015;Media & Publishing;29.38673922;35.26260504;33.57645875;17.96003492
Lithia Motors Inc;2016;2015;Specialty Retailers;34.57097735;28.54183927;45.33326721;28.76538405
Live Oak Bancshares Inc;2017;2016;Banking Services;30.65203631;33.62438725;29.98092723;28.11972286
LKQ Corp;2015;2014;Automobiles & Auto Parts;28.48576434;20.29411765;36.95506372;27.75972694
LKQ Corp;2016;2015;Automobiles & Auto Parts;25.10595484;19.055334;27.95416567;28.53577857
Loews Corp;2010;2009;Insurance;31.86787751;25.6225848;42.81895754;26.0835041
LogMeIn Inc;2016;2015;Software & IT Services;30.45353993;37.21347694;30.63545593;22.70613416
Lumber Liquidators Holdings Inc;2017;2016;Specialty Retailers;43.68196655;42.7540107;62.80409731;22.45950285
Lumentum Holdings Inc;2016;2015;Communications & Networking;28.03304678;36.80795848;27.85832643;18.45454103
M&T Bank Corp;2011;2010;Banking Services;36.74784198;42.45227892;39.14047197;27.6039331
M&T Bank Corp;2013;2012;Banking Services;41.42068719;41.12495317;55.46335337;25.4056153
M&T Bank Corp;2014;2013;Banking Services;39.75366162;40.9153381;53.17669255;22.8351502
M&T Bank Corp;2015;2014;Banking Services;38.46664724;41.71641791;49.16333824;22.39370518
M&T Bank Corp;2016;2015;Banking Services;46.29832934;48.0459307;59.70480417;28.74592596
Mack-Cali Realty Corp;2009;2008;Residential & Commercial REITs;33.9712876;36.6194626;43.40114763;20.04348495
Mack-Cali Realty Corp;2012;2011;Residential & Commercial REITs;30.83579081;26.45602796;41.43076279;23.38629676
Mammoth Energy Services Inc;2017;2016;Oil & Gas Related Equipment and Services;34.14314299;49.21748516;36.1286988;15.02790151
Manitowoc Company Inc;2010;2009;Machinery, Tools, Heavy Vehicles, Trains & Ships;;;48.87124163;28.32486724
Marcus & Millichap Inc;2017;2016;Real Estate Operations;30.24366183;25.48048923;43.05884814;20.6373915
Markel Corp;2012;2011;Insurance;30.74705128;19.67647059;45.43192488;25.99579655
Markel Corp;2013;2012;Insurance;32.77797746;18.74032508;49.31893996;29.17391231
Mastercard Inc;2009;2008;Software & IT Services;40.51791724;31.88443519;64.46466409;22.26968368
Mastercard Inc;2011;2010;Software & IT Services;35.95532737;28.32586677;65.87771663;9.63260086
Match Group Inc;2017;2016;Software & IT Services;29.68611274;43.57642685;17.4747369;28.4150689
Materion Corp;2017;2016;Metals & Mining;27.51422512;15.94202899;43.11339049;22.25797261
Maxar Technologies Ltd;2012;2011;Communications & Networking;;;12.58420086;28.55191257
Maxar Technologies Ltd;2013;2012;Communications & Networking;16.28902289;6.393861893;16.93202694;26.57127962
Maxar Technologies Ltd;2014;2013;Communications & Networking;24.80415442;5.690537084;43.26393141;24.62516773
Maxar Technologies Ltd;2015;2014;Communications & Networking;27.5675;9.882352941;48.05633803;23.43442623
Maxar Technologies Ltd;2016;2015;Communications & Networking;17.78514408;9.742647059;25.49882629;17.77233032
Maxim Integrated Products Inc;2014;2013;Semiconductors & Semiconductor Equipment;36.21717873;36.20743034;43.00222387;28.33069818
MaxLinear Inc;2016;2015;Semiconductors & Semiconductor Equipment;17.12222961;14.84533469;21.18746965;14.92873474
MDC Holdings Inc;2013;2012;Homebuilding & Construction Supplies;39.25027177;34.64052288;55.51643192;25.45626446
MDC Holdings Inc;2014;2013;Homebuilding & Construction Supplies;39.72807741;39.67962185;56.80331992;19.90763086
