ID;Name;Year;E-Score-1;S-Score-1;G-Score-1;TRYear
94;Alliant Energy Corp;2013;14,92372881;12,42161017;24,17713697;21,59066615
94;Alliant Energy Corp;2014;12,97520661;14,63429752;23,02944162;34,91978019
94;Alliant Energy Corp;2015;15,50393701;16,44291339;23,77977978;-3,462144324
94;Alliant Energy Corp;2016;16,83443709;15,39735099;20,80178042;27,75618513
94;Alliant Energy Corp;2017;20,88819876;18,52484472;23,53423061;18,13526354
95;Allison Transmission Holdings Inc;2016;15,39166667;14,3125;9,117655786;31,57182765
95;Allison Transmission Holdings Inc;2017;16,3968254;12,3452381;9,09898262;27,99335117
96;Allscripts Healthcare Solutions Inc;2010;11,1171875;5,8828125;8,49296875;-7,924298314
96;Allscripts Healthcare Solutions Inc;2011;7,850746269;6,507462687;18,60131712;0,960022011
96;Allscripts Healthcare Solutions Inc;2012;8,7890625;5,8515625;19,99948718;-56,14943923
96;Allscripts Healthcare Solutions Inc;2013;7,333333333;5,392857143;17,06900103;56,24701482
96;Allscripts Healthcare Solutions Inc;2014;7,23015873;5,694444444;22,70989848;-17,53498678
96;Allscripts Healthcare Solutions Inc;2015;7,815384615;5,088461538;15,01626627;18,31054057
96;Allscripts Healthcare Solutions Inc;2016;10,06060606;4,136363636;16,99480712;-35,81662266
96;Allscripts Healthcare Solutions Inc;2017;13,01470588;7,538602941;18,18122086;38,41351735
97;Allstate Corp;2008;23,2;26,98095238;14,95610119;-22,65874911
97;Allstate Corp;2009;30,4488189;28,23818898;27,15140845;-5,956740593
97;Allstate Corp;2010;30,94525547;27,63868613;28,01380208;12,85581869
97;Allstate Corp;2011;30,78476821;29,48013245;26,12259372;-12,20433358
97;Allstate Corp;2012;32,01666667;30,47833333;22,17692308;41,8513108
97;Allstate Corp;2013;31,53947368;27,74835526;21,41915551;33,90837633
97;Allstate Corp;2014;32,71656051;28,8933121;26,25862944;29,9986429
97;Allstate Corp;2015;28,66049383;26,40740741;27,97172172;-9,741816437
97;Allstate Corp;2016;31,2989418;25,08333333;23,22774481;19,99145718
97;Allstate Corp;2017;28,81455399;28,18309859;25,8782323;37,34148617
98;Ally Financial Inc;2015;9,135820896;15,16044776;5,46971972;-25,83054996
98;Ally Financial Inc;2016;11,01826484;16,92123288;4,668991098;8,374686063
98;Ally Financial Inc;2017;13,515625;20,40711806;17,58139042;55,51576118
100;Alnylam Pharmaceuticals Inc;2015;11,88095238;14,36904762;10,32857858;5,174352717
100;Alnylam Pharmaceuticals Inc;2016;12,32386364;15,87215909;10,55326409;-52,38572314
100;Alnylam Pharmaceuticals Inc;2017;13,31024096;19,06475904;19,21259008;149,0103472
102;Alphabet Inc;2008;28,65540541;19,91216216;12,41071429;-65,93817255
102;Alphabet Inc;2009;31,21084337;17,55421687;12,91607981;71,04215263
102;Alphabet Inc;2010;31,54455446;23,46782178;7,6203125;0,446071699
102;Alphabet Inc;2011;28,14912281;22,625;7,920466059;13,4696685
102;Alphabet Inc;2012;27,7079646;25,70132743;9,872564103;12,25514357
102;Alphabet Inc;2013;27,25431034;22,98275862;8,045314109;48,78535788
102;Alphabet Inc;2014;27,93307087;20,57086614;5,862436548;1,672694124
102;Alphabet Inc;2015;30,84265734;22,91433566;10,52852853;43,88246386
102;Alphabet Inc;2016;32,29342723;25,45070423;15,28545994;1,81362418
102;Alphabet Inc;2017;31,93866171;27,79089219;12,89963968;26,72504742
103;Altaba Inc;2008;20,5;24,9;6,710193452;-58,43163429
103;Altaba Inc;2009;25,625;31,0625;20,50117371;32,20968696
103;Altaba Inc;2010;25,625;31,0625;20,13697917;-1,351561679
103;Altaba Inc;2011;26,2;31,95;21,58308004;-2,292253396
103;Altaba Inc;2012;22,875;26,0625;21,96794872;21,21802123
103;Altaba Inc;2013;18,1;23,95;17,50978373;73,68833405
103;Altaba Inc;2014;18,5;31,0625;20,50837563;20,30417884
103;Altaba Inc;2015;9,75;27,0625;19,78003003;-45,1880175
103;Altaba Inc;2016;15,67105263;34,07236842;20,02863501;19,02025647
103;Altaba Inc;2017;9,726190476;34,9702381;22,08202628;61,40246245
104;Altra Industrial Motion Corp;2017;8,030797101;11,37681159;12,71873675;37,33854913
105;Altria Group Inc;2008;12,93571429;22,45357143;16,98139881;-36,88992255
105;Altria Group Inc;2009;15;18,86728395;23,88380282;32,10033729
105;Altria Group Inc;2010;17,33163265;19,53826531;14,81354167;28,40186536
105;Altria Group Inc;2011;22,42342342;28,88288288;17,22973658;24,86151183
105;Altria Group Inc;2012;23,27083333;26,9375;21,96666667;12,87606226
105;Altria Group Inc;2013;23,11627907;26,38372093;19,05072091;25,77507635
105;Altria Group Inc;2014;23,06884058;25,65942029;22,62106599;29,41354001
105;Altria Group Inc;2015;22,99652778;23,69270833;19,79954955;19,32307012
105;Altria Group Inc;2016;26,36127168;25,87427746;18,7310089;19,91422637
105;Altria Group Inc;2017;24,56951872;28,44652406;20,92390844;9,861018842
106;AMAG Pharmaceuticals Inc;2017;12,00458716;10,28440367;26,09220008;-82,66369234
